id,contract_type/id,contract_type/description/fi,contract_type/description/sv,contract_type/description/en,name/fi,name/sv,name/en,street_address/fi,street_address/sv,street_address/en,municipality,location/type,location/coordinates/0,location/coordinates/1,department/id,department/name/fi,department/name/sv,department/name/en,department/street_address,department/municipality,sort_index,object_type,score,department/street_address/fi,department/street_address/sv,department/street_address/en,period_enabled,clarification_enabled,root_service_node,unit_count/municipality/kauniainen,unit_count/municipality/helsinki,unit_count/total
8984,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Tiilimäki väestönsuoja,Tegelbackens befolkningsskyddsrum,Tiilimäki bomb shelter,Rantapolku 7c,Strandstigen 7c,Rantapolku 7c,helsinki,Point,24.870846,60.196674,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,9,unit,3.8299935,,,,,,,,,
8998,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Toivolan kallioväestönsuoja,Toivola bergskyddsrum,Toivola bomb shelter,Mikkolankuja 1,Mickelsgränden 1,,helsinki,Point,24.966345,60.240864,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,57,unit,1.037806,,,,,,,,,
8987,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Torkkelinmäki väestönsuoja,Torkelsbackens befolkningsskyddsrum,Torkkelinmäki bomb shelter,Helsinginkatu 10c,Helsingegatan 10c,Helsinginkatu 10c,helsinki,Point,24.955338,60.187046,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,2,unit,3.9738328,,,,,,,,,
8999,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Toukola kallioväestönsuoja,Majstads bergskyddsrum,Toukola bomb shelter,Floorantie 3a,Floravägen 3a,Floorantie 3a,helsinki,Point,24.968897,60.20519,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,53,unit,1.0469841,,,,,,,,,
66832,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Tuulimäen liikuntahalli / väestönsuoja,Väderbackens idrottshall / befolkningsskydd,Tuulimäki Sports hall,Itätuulenkuja 9,Östanvindsgränden 9,Itätuulenkuja 9,espoo,Point,24.805847,60.173595,b8eb3b35-a41c-415a-9c87-ae005d6906e5,Elinvoima,,,,espoo,32,unit,1.6296419,,,,,,,,,
8988,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Tähtitorni 1 väestönsuoja,Observatorieberget 1 befolkningsskyddsrum,Tähtitorninvuori 1 bomb shelter,Laivasillankatu 20,Skeppsbrogatan 20,Laivasillankatu 20,helsinki,Point,24.953444,60.16183,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,12,unit,3.3467746,,,,,,,,,
64274,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Tähtitorni 2 väestönsuoja,befolkningsskyddsrum,Tähtitorni 2 bomb shelter,Fabianinkatu 1a,Fabiansgatan 1a,Fabianinkatu 1a,helsinki,Point,24.95003,60.16283,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,15,unit,3.2302492,,,,,,,,,
8989,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Valpurinpuisto väestönsuoja,Valborgsparkens befolkningsskyddsrum,Valpurinpuisto bomb shelter,Kuusitie 12a,Granvägen 12a,Kuusitie 12a,helsinki,Point,24.89747,60.194195,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,10,unit,3.8299935,,,,,,,,,
9022,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Vesalan yhteiskalliosuoja,Ärvings gemensamma bergskyddsrum,Vesala common bomb shelter,Varhelantie 4,Varhelavägen 4,,helsinki,Point,25.105595,60.24082,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,46,unit,1.1538922,,,,,,,,,
64294,private_service,yksityinen palvelu,privat tjänst,private service,Viikin väestönsuoja,Viikki befolkningsskyddsrum,Viikki bomb shelter,Mustialankatu 8,Mustialagatan 8,Mustialankatu 8,helsinki,Point,25.022217,60.22776,75ffb98a-0de3-461d-92e0-a115ccc6ca81,Senaattikiinteistöt,Senaattikiinteistöt,Senaattikiinteistöt,,,20,unit,2.1361332,Lintulahdenkatu 5 A,Lintulahdenkatu 5 A,Lintulahdenkatu 5 A,,,,,,
815,,,,,yleiset väestönsuojat,allmänna befolkningsskyddsrum,general public shelters,,,,,,,,,,,,,,62,service,0.7817946,,,,false,false,1061,2,28,30
